# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1634932808.6686995,0,17.89692497253418,0.3882812559604645,16.948930740356445,1.0449756383895874,-0.09698152542114258,,,,,,,,
1,1634932809.2040024,800,-56.4213981628418,0.19462890923023224,-60.45174789428711,4.125850200653076,-0.09550256282091141,,,,,,,,
2,1634932809.765923,1600,5.820308208465576,0.0,5.828696250915527,0.08785957098007202,-0.09624776989221573,,,,,,,,
3,1634932810.3517904,2400,-10.90781307220459,0.0,-11.759537696838379,0.9471856951713562,-0.09546124935150146,,,,,,,,
4,1634932810.9408715,3200,13.636048316955566,0.0,13.559892654418945,0.17126750946044922,-0.0951116532087326,,,,,,,,
5,1634932811.4899266,4000,-20.033411026000977,0.0,-21.082761764526367,1.1444586515426636,-0.09510864317417145,,,,,,,,
6,1634932812.0346193,4800,33.56302261352539,0.13463541865348816,31.337787628173828,2.321601152420044,-0.09636548161506653,,,,,,,,
7,1634932812.6489642,5600,9.978520393371582,0.13789063692092896,8.146857261657715,1.926202416419983,-0.09453927725553513,0.3531250059604645,1.6397145986557007,-0.207911878824234,0.10253021121025085,0.14534911513328552,172.125,0.057373046875,7.0
8,1634932813.19082,6400,-40.15375900268555,0.0,-41.99793243408203,1.9371509552001953,-0.09297382831573486,,,,,,,,
9,1634932813.7369394,7200,40.71595001220703,0.05559895932674408,37.790218353271484,3.019868850708008,-0.09413745254278183,,,,,,,,
10,1634932814.2610059,8000,-13.650809288024902,0.3646484315395355,-14.757328033447266,1.2002959251403809,-0.09377732872962952,,,,,,,,
11,1634932814.844779,8800,9.223367691040039,0.2744140625,6.999827861785889,2.3185479640960693,-0.09500756114721298,,,,,,,,
12,1634932815.4095104,9600,58.25631332397461,0.3359375,51.54134750366211,6.810286521911621,-0.09532313793897629,,,,,,,,
13,1634932816.0147572,10400,-20.6252498626709,0.29518231749534607,-22.12236785888672,1.590093970298767,-0.09297581762075424,,,,,,,,
14,1634932816.7158823,11200,20.739948272705078,0.2315625250339508,16.797908782958984,4.03538179397583,-0.09334193915128708,0.47187501192092896,1.9156533479690552,-0.2078751176595688,0.1253606677055359,0.10565185546875,168.46875,0.17960205674171448,7.0
15,1634932817.4007614,12000,-22.565462112426758,0.15195313096046448,-23.697772979736328,1.2245596647262573,-0.09224880486726761,,,,,,,,
16,1634932818.1154406,12800,1.3103573322296143,0.28257814049720764,-1.1854827404022217,2.5887417793273926,-0.09290169924497604,,,,,,,,
17,1634932818.8006172,13600,-1.2094287872314453,0.21718749403953552,-3.4510974884033203,2.3346424102783203,-0.0929737463593483,,,,,,,,
18,1634932819.4755795,14400,32.78788375854492,0.4460156559944153,26.474559783935547,6.40526008605957,-0.09193708747625351,,,,,,,,
19,1634932820.2190506,15200,1.4656111001968384,0.5302734375,-1.5627129077911377,3.1163170337677,-0.08799299597740173,0.534375011920929,1.685768723487854,-0.2078750878572464,0.11039295792579651,0.2131347507238388,138.65625,0.22805175185203552,7.0
20,1634932820.896221,16000,-13.6043062210083,0.09355469048023224,-15.404044151306152,1.8842904567718506,-0.0845523551106453,,,,,,,,
21,1634932821.5696287,16800,23.87105941772461,0.33281248807907104,19.0656681060791,4.890388011932373,-0.08499739319086075,,,,,,,,
22,1634932822.2568567,17600,-10.530782699584961,0.56103515625,-13.17503547668457,2.7257001399993896,-0.08144771307706833,,,,,,,,
23,1634932822.951707,18400,-7.185412406921387,0.12949219346046448,-8.742715835571289,1.6421104669570923,-0.0848071351647377,,,,,,,,
24,1634932823.73815,19200,21.56349754333496,0.4240885078907013,16.07889175415039,5.56919002532959,-0.08458469063043594,0.6312499642372131,1.464342713356018,-0.20770321786403656,0.09282761812210083,0.19737550616264343,139.46875,0.22843018174171448,7.0
25,1634932824.3731108,20000,-7.136643409729004,0.3405468761920929,-10.591265678405762,3.537877082824707,-0.0832546278834343,,,,,,,,
26,1634932825.027545,20800,29.00107192993164,0.3636718690395355,24.842458724975586,4.242807388305664,-0.08419465273618698,,,,,,,,
27,1634932825.74319,21600,46.35048294067383,0.6181857585906982,37.92879104614258,8.501333236694336,-0.07963938266038895,,,,,,,,
28,1634932826.4784312,22400,-16.10603904724121,0.6279296278953552,-19.090534210205078,3.057004928588867,-0.0725090354681015,0.746874988079071,0.6487739086151123,-0.20713365077972412,0.05523495376110077,0.22791749238967896,99.8125,0.38972169160842896,7.0
29,1634932827.1339095,23200,1.713623046875,0.42695310711860657,-0.41618403792381287,2.2087817192077637,-0.07897458970546722,,,,,,,,
30,1634932827.7986586,24000,-21.208471298217773,0.32789063453674316,-25.394123077392578,4.264129161834717,-0.07847701013088226,,,,,,,,
31,1634932828.5541215,24800,18.630300521850586,0.6899219751358032,14.692317962646484,4.01884651184082,-0.08086320757865906,,,,,,,,
