# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1633277297.4459016,0,-3.5190112590789795,0.0,-3.4320859909057617,0.009870585054159164,-0.09679587930440903,,,,,,,,
1,1633277298.072379,800,46.946990966796875,0.1535937488079071,42.87041473388672,4.173150539398193,-0.09657103568315506,,,,,,,,
2,1633277298.681504,1600,-4.36987829208374,0.12646484375,-8.523653030395508,4.249647617340088,-0.09587277472019196,,,,,,,,
3,1633277299.2704518,2400,-6.846468925476074,0.02587890625,-7.793825149536133,1.0421212911605835,-0.09476523846387863,,,,,,,,
4,1633277299.8964386,3200,29.710744857788086,0.10273437201976776,27.261898040771484,2.542834997177124,-0.09398794174194336,,,,,,,,
5,1633277300.548711,4000,-26.90091323852539,0.21145832538604736,-28.890846252441406,2.0835320949554443,-0.09359871596097946,,,,,,,,
6,1633277301.234936,4800,-0.08971278369426727,0.0,0.004222651477903128,0.000501900736708194,-0.09443733841180801,,,,,,,,
7,1633277301.936625,5600,17.729839324951172,0.09382812678813934,15.483877182006836,2.340405225753784,-0.09444278478622437,0.3281249701976776,1.356796145439148,-0.20790477097034454,0.0916408821940422,0.1715087890625,182.34375,0.08394774794578552,7.0
8,1633277302.5301557,6400,-30.52448272705078,0.0,-31.508258819580078,1.0778989791870117,-0.0941232368350029,,,,,,,,
9,1633277303.1525002,7200,75.74161529541016,0.328125,66.40947723388672,9.42624568939209,-0.09410850703716278,,,,,,,,
10,1633277303.8711495,8000,2.842879295349121,0.18886718153953552,1.4643402099609375,1.4719644784927368,-0.09342531859874725,,,,,,,,
