# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1633763264.526519,0,15.42373275756836,0.650195300579071,13.772854804992676,1.7474559545516968,-0.09657742083072662,,,,,,,,
1,1633763265.1338954,800,-26.452627182006836,0.06455077975988388,-27.82270050048828,1.46397066116333,-0.09389608353376389,,,,,,,,
2,1633763266.0235393,1600,24.131685256958008,0.26533204317092896,21.500818252563477,2.7264151573181152,-0.09554947167634964,,,,,,,,
3,1633763266.9789846,2400,4.071380615234375,0.4224218726158142,0.7305209040641785,3.435312509536743,-0.09445296972990036,,,,,,,,
4,1633763267.7953355,3200,-7.252373218536377,0.3180468678474426,-10.238763809204102,3.0793938636779785,-0.09300313144922256,,,,,,,,
5,1633763268.7049034,4000,3.5501484870910645,0.17161458730697632,2.2893857955932617,1.3530791997909546,-0.09231653064489365,,,,,,,,
6,1633763270.047827,4800,28.962570190429688,0.38626304268836975,24.15117645263672,4.902972221374512,-0.09157992899417877,0.6312499642372131,2.7302680015563965,-0.20786777138710022,0.16420483589172363,0.15035401284694672,141.46875,0.22139891982078552,7.0
