# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1633277179.4376192,0,-6.204209804534912,0.0,-6.1409993171691895,0.03361460566520691,-0.09682518988847733,,,,,,,,
1,1633277180.1655488,800,39.48733901977539,0.0,37.696250915527344,1.8877989053726196,-0.09671152383089066,,,,,,,,
2,1633277180.9356678,1600,-44.821842193603516,0.11113281548023224,-47.215274810791016,2.489318370819092,-0.09588771313428879,,,,,,,,
3,1633277181.715838,2400,59.964691162109375,0.34757810831069946,52.640342712402344,7.420346260070801,-0.09599825739860535,,,,,,,,
4,1633277182.4740736,3200,-40.760215759277344,0.0,-42.9421501159668,2.2779717445373535,-0.09603781253099442,,,,,,,,
5,1633277183.2495277,4000,23.068763732910156,0.09003905951976776,20.75348663330078,2.4117281436920166,-0.09645132720470428,,,,,,,,
6,1633277184.0210993,4800,-11.160209655761719,0.0,-12.004521369934082,0.9403308033943176,-0.09601925313472748,,,,,,,,
7,1633277184.8489532,5600,8.64153003692627,0.0,7.757967948913574,0.9797718524932861,-0.09620961546897888,0.2906249761581421,1.2355679273605347,-0.20789925754070282,0.081694096326828,0.15019533038139343,181.84375,0.07945556938648224,7.0
8,1633277185.6847441,6400,-22.926109313964844,0.0,-23.394573211669922,0.5640475749969482,-0.09558386355638504,,,,,,,,
