# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1635347032.4228005,0,64.22618103027344,0.0,61.10833740234375,3.213419198989868,-0.09557683020830154,,,,,,,,
1,1635347032.6545417,800,37.30073547363281,0.0,36.08038330078125,1.3138813972473145,-0.09353053569793701,,,,,,,,
2,1635347032.8849368,1600,12.459524154663086,0.0,12.225950241088867,0.3196546137332916,-0.08608096837997437,,,,,,,,
3,1635347033.2255094,2400,-6.574204921722412,0.0,-6.703025817871094,0.20348520576953888,-0.07466404885053635,,,,,,,,
4,1635347033.5237162,3200,1.5361274480819702,0.0,1.5521824359893799,0.027882404625415802,-0.04393746331334114,,,,,,,,
5,1635347033.705907,4000,-0.6540462970733643,0.0,-0.6301074624061584,0.021497227251529694,-0.0454360693693161,,,,,,,,
6,1635347033.9987288,4800,0.46214407682418823,0.0,0.48899659514427185,0.015706324949860573,-0.04255884140729904,,,,,,,,
7,1635347034.2433577,5600,-0.2638639211654663,0.0,-0.28033149242401123,0.06373606622219086,-0.04726848751306534,,,,,,,,
8,1635347034.4207358,6400,-1.3993934392929077,0.0,-2.884345054626465,1.5340901613235474,-0.04913854971528053,,,,,,,,
9,1635347034.59325,7200,-3.9507367610931396,0.0,-7.209820747375488,3.2993507385253906,-0.040266696363687515,,,,,,,,
10,1635347034.7840881,8000,0.9507321119308472,0.0,0.11893290281295776,0.8557001352310181,-0.02390095219016075,,,,,,,,
11,1635347034.9757073,8800,1.8840305805206299,0.0,-0.748204231262207,2.6599745750427246,-0.027739768847823143,,,,,,,,
12,1635347035.1212432,9600,3.133758544921875,0.0,-0.33619964122772217,3.4922971725463867,-0.022338848561048508,,,,,,,,
13,1635347035.2771068,10400,2.192601203918457,0.0,-0.9590213298797607,3.170912027359009,-0.01928957924246788,,,,,,,,
14,1635347035.4309464,11200,8.876618385314941,0.0,7.247763633728027,1.6772775650024414,-0.048423148691654205,,,,,,,,
15,1635347035.5859778,12000,1.2602158784866333,0.0,-0.2740825116634369,1.5502841472625732,-0.015985725447535515,,,,,,,,
16,1635347035.7691362,12800,3.1582305431365967,0.0,1.1435967683792114,2.032827854156494,-0.01819399930536747,,,,,,,,
17,1635347035.9597282,13600,-0.10542512685060501,0.0,-0.261951208114624,0.17603902518749237,-0.01951294206082821,,,,,,,,
18,1635347036.1073732,14400,2.928151845932007,0.0,2.637873411178589,0.31605595350265503,-0.025777604430913925,,,,,,,,
