# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1633956554.964004,0,-2.44008207321167,0.0,-2.3519656658172607,0.008318306878209114,-0.09643486142158508,,,,,,,,
1,1633956555.5697258,800,25.290536880493164,0.0,24.555143356323242,0.8306933641433716,-0.09530134499073029,,,,,,,,
2,1633956556.4898038,1600,-53.628482818603516,0.0,-57.3368034362793,3.804506540298462,-0.09618867188692093,,,,,,,,
3,1633956557.1374032,2400,15.934157371520996,0.0,15.744606018066406,0.2848127484321594,-0.09526198357343674,,,,,,,,
4,1633956557.9054892,3200,-46.66826248168945,0.0,-49.04750061035156,2.4755072593688965,-0.09626849740743637,,,,,,,,
5,1633956558.8544796,4000,29.937545776367188,0.0,29.121740341186523,0.9120247960090637,-0.09622080624103546,,,,,,,,
6,1633956559.427732,4800,-56.807891845703125,0.0,-62.39004898071289,5.677485466003418,-0.09532856941223145,,,,,,,,
7,1633956560.2567465,5600,3.915170192718506,0.0,3.9899470806121826,0.021963825449347496,-0.0967407152056694,,,,,,,,
8,1633956561.1103396,6400,-8.132766723632812,0.0,-8.092220306396484,0.05615581199526787,-0.09670215100049973,,,,,,,,
9,1633956561.7389357,7200,9.565699577331543,0.0,9.585604667663574,0.07667745649814606,-0.09658235311508179,,,,,,,,
10,1633956562.566575,8000,-10.010357856750488,0.0,-10.016963958740234,0.10310705006122589,-0.09650103002786636,,,,,,,,
11,1633956563.5376976,8800,7.758831024169922,0.0,7.796537399291992,0.0588635690510273,-0.09656981378793716,,,,,,,,
12,1633956564.3823805,9600,-4.350030422210693,0.0,-4.269731521606445,0.01593540422618389,-0.09623454511165619,,,,,,,,
13,1633956565.1043005,10400,1.3443922996520996,0.0,1.4385253190994263,0.0020707848016172647,-0.0962037518620491,,,,,,,,
