# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1633763192.7917821,0,0.0536133348941803,0.6449218988418579,-0.03267233818769455,0.18297737836837769,-0.09669169783592224,,,,,,,,
1,1633763193.2874565,800,10.218091011047363,0.11421874910593033,8.103513717651367,2.2094953060150146,-0.0949181318283081,,,,,,,,
2,1633763193.9222815,1600,-62.284156799316406,0.0,-67.21263885498047,5.019844055175781,-0.09136129915714264,,,,,,,,
3,1633763194.4513772,2400,28.34918785095215,0.08890625089406967,25.437450408935547,3.007143259048462,-0.09540590643882751,,,,,,,,
4,1633763195.011879,3200,-27.17928695678711,0.306640625,-29.02056312561035,1.9359499216079712,-0.09467395395040512,,,,,,,,
5,1633763195.6062894,4000,54.69676971435547,0.2750000059604645,46.982330322265625,7.8081841468811035,-0.09374698996543884,,,,,,,,
6,1633763196.140861,4800,-17.419151306152344,0.2389322966337204,-19.016298294067383,1.6900920867919922,-0.09294489026069641,,,,,,,,
7,1633763196.7243178,5600,0.055563196539878845,0.1399739533662796,-1.0032269954681396,1.1513545513153076,-0.09256435930728912,0.3999999761581421,1.5636498928070068,-0.20787130296230316,0.10338234156370163,0.09593506157398224,176.96875,0.15814208984375,7.0
8,1633763197.2738485,6400,51.39744567871094,0.4119419455528259,43.42240524291992,8.067066192626953,-0.09202679991722107,,,,,,,,
9,1633763197.8423288,7200,-17.662084579467773,0.2657226622104645,-20.459596633911133,2.8872573375701904,-0.0897437110543251,,,,,,,,
10,1633763198.3978443,8000,-8.938515663146973,0.24160155653953552,-11.117730140686035,2.2679457664489746,-0.08873084932565689,,,,,,,,
11,1633763198.9403934,8800,35.44468688964844,0.5532552599906921,29.990076065063477,5.5436506271362305,-0.08903804421424866,,,,,,,,
12,1633763199.5278227,9600,-23.761699676513672,0.30791014432907104,-25.721696853637695,2.041358232498169,-0.08136226236820221,0.703125,2.5097336769104004,-0.20783117413520813,0.14441317319869995,0.18166503310203552,124.0625,0.2903198301792145,7.0
13,1633763200.0893223,10400,-3.1413865089416504,0.16826172173023224,-5.465057373046875,2.408353805541992,-0.08468306064605713,,,,,,,,
14,1633763200.6338658,11200,44.38200378417969,0.5686718821525574,37.135887145996094,7.3312177658081055,-0.08510220050811768,,,,,,,,
15,1633763201.1823997,12000,14.68016242980957,0.3257812559604645,8.757850646972656,6.000983238220215,-0.07867173850536346,,,,,,,,
16,1633763201.7813063,12800,-19.442527770996094,0.39889323711395264,-22.52401351928711,3.158270835876465,-0.07678525894880295,0.621874988079071,1.6433151960372925,-0.2076866179704666,0.09830470383167267,0.30517578125,107.625,0.20235595107078552,7.0
17,1633763202.3318348,13600,-4.300826549530029,0.595703125,-6.969953536987305,2.743988037109375,-0.07486104965209961,,,,,,,,
18,1633763202.9043038,14400,6.350096225738525,0.3729492127895355,3.34409236907959,3.0816707611083984,-0.07566667348146439,,,,,,,,
19,1633763203.4837542,15200,27.280010223388672,0.505078136920929,19.71436882019043,7.642715930938721,-0.0770740881562233,,,,,,,,
20,1633763204.066704,16000,27.108802795410156,0.629119336605072,19.05242347717285,8.123064994812012,-0.06668543070554733,0.9031249284744263,1.9854307174682617,-0.20738522708415985,0.07491631805896759,0.20368653535842896,88.15625,0.3988403081893921,7.0
21,1633763204.691036,16800,0.2935876250267029,0.742919921875,-4.459205150604248,4.808855056762695,-0.05606226623058319,,,,,,,,
