# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,gen_rewards,gg_loss,generator_entropy_loss,generator_baseline_loss,mean_intrinsic_rewards,mean_episode_steps,ex_reward,generator_current_target
0,1635177925.5867965,0,-0.05819135159254074,0.0,0.02839222550392151,0.009984372183680534,-0.09656795114278793,,,,,,,,
1,1635177925.8247252,800,-2.3028783798217773,0.0,-2.2155284881591797,0.009212140925228596,-0.09656213968992233,,,,,,,,
2,1635177926.047435,1600,7.597450256347656,0.0,7.513833999633789,0.180435910820961,-0.096819669008255,,,,,,,,
3,1635177926.2764065,2400,-7.949794769287109,0.0,-8.097935676574707,0.24403409659862518,-0.09589333832263947,,,,,,,,
4,1635177926.42568,3200,3.163287878036499,0.0,3.2486867904663086,0.011378221213817596,-0.09677726775407791,,,,,,,,
5,1635177926.6080105,4000,-0.1956128180027008,0.0,-0.09949181973934174,0.0004457457398530096,-0.09656673669815063,,,,,,,,
6,1635177926.7886338,4800,-0.1142420843243599,0.0,-0.021343324333429337,0.0036805470008403063,-0.09657930582761765,,,,,,,,
7,1635177926.9698544,5600,0.05321116745471954,0.0,0.14943434298038483,0.00037022284232079983,-0.09659339487552643,,,,,,,,
8,1635177927.0863547,6400,-0.2241480052471161,0.0,-0.1280125081539154,0.00037528437678702176,-0.09651077538728714,,,,,,,,
9,1635177927.2813175,7200,-0.07847560197114944,0.0,0.01753450185060501,0.0005518740508705378,-0.0965619757771492,,,,,,,,
10,1635177927.4460912,8000,-0.218199223279953,0.0,-0.12203963845968246,0.0003234299074392766,-0.0964830219745636,,,,,,,,
11,1635177927.6267126,8800,-0.02532385289669037,0.0,0.07027345895767212,0.0009364258730784059,-0.09653373807668686,,,,,,,,
12,1635177927.802173,9600,8.768758773803711,0.0,8.502235412597656,0.3630971908569336,-0.0965740978717804,,,,,,,,
13,1635177927.9793336,10400,-9.23426342010498,0.0394444465637207,-9.48184585571289,0.34311023354530334,-0.09552738070487976,,,,,,,,
14,1635177928.0980818,11200,1.7944117784500122,0.0,1.8827556371688843,0.007624370511621237,-0.09596820175647736,,,,,,,,
15,1635177928.2647054,12000,-1.6452441215515137,0.0,-1.553710699081421,0.004468686878681183,-0.09600207954645157,,,,,,,,
16,1635177928.4511402,12800,0.8599221706390381,0.0,0.953335165977478,0.0026119700632989407,-0.09602496773004532,,,,,,,,
17,1635177928.6405363,13600,2.6024587154388428,0.0,2.496912956237793,0.2016279697418213,-0.09608214348554611,,,,,,,,
